winner,turns,white_rating,black_rating,opening_ply,hour_of_day,day_of_week,day_of_month,month,year,game_duration,total_elo,elo_difference,outlier,outlier_flag
1.0,79.0,1806.0,1667.0,6.0,6.0,2.0,13.0,7.0,2016.0,3.543583330133333,3473.0,139.0,True,Yes
1.0,63.0,1525.0,1486.0,2.0,18.0,6.0,27.0,8.0,2017.0,15.992866666666666,3011.0,39.0,False,No
0.0,21.666666666666657,1343.6666666666665,1147.3333333333333,4.0,5.5,3.666666666666667,5.5,9.5,2016.8333333333333,0.0,2491.0,196.33333333333337,False,No
-1.0,14.0,1153.0,1370.0,3.0,23.0,3.0,22.0,12.0,2016.0,0.0,2523.0,-217.0,False,No
1.0,73.0,1994.0,1522.0,2.0,9.0,5.0,2.0,9.0,2017.0,9.123466666666667,3516.0,472.0,False,No
1.0,51.0,1390.0,1386.0,4.0,9.0,5.0,2.0,4.0,2016.0,0.0,2776.0,4.0,False,No
1.0,7.0,1500.0,1500.0,5.0,14.0,2.0,2.0,8.0,2017.0,1.0810666666666668,3000.0,0.0,False,No
0.0,90.0,1513.3333333333333,1487.8333333333333,5.666666666666667,13.166666666666666,3.1666666666666665,11.0,7.333333333333333,2017.0,0.0,3001.1666666666665,25.5,False,No
-1.0,82.0,1708.0,1851.0,4.0,5.0,4.0,25.0,8.0,2017.0,0.0,3559.0,-143.0,False,No
1.0,45.0,1348.0,1397.0,5.0,19.0,5.0,2.0,9.0,2017.0,3.543583330133333,2745.0,-49.0,True,Yes
-1.0,62.0,1500.0,1398.0,6.0,2.0,1.0,31.0,1.0,2017.0,3.543583330133333,2898.0,102.0,True,Yes
0.0,11.333333333333332,1240.8333333333333,1066.0,3.666666666666667,5.5,3.5,5.166666666666664,8.833333333333334,2016.5,3.652680556088889,2306.8333333333335,174.83333333333337,False,No
-1.0,60.0,1565.0,1253.0,4.0,11.0,0.0,1.0,5.0,2017.0,11.8155833344,2818.0,312.0,False,No
-1.0,16.0,1730.0,1882.0,4.0,1.0,5.0,19.0,8.0,2017.0,1.1976333354666666,3612.0,-152.0,False,No
-1.0,36.0,1844.0,1539.0,4.0,20.0,2.0,20.0,7.0,2016.0,19.351066666666668,3383.0,305.0,False,No
-1.0,31.0,1706.0,1698.0,4.0,15.0,5.0,26.0,8.0,2017.0,5.7302166655999995,3404.0,8.0,False,No
1.0,89.0,1310.0,1273.0,5.0,19.0,4.0,24.0,3.0,2017.0,22.1289666688,2583.0,37.0,False,No
-1.0,52.0,1951.0,2227.0,3.0,17.0,0.0,8.0,5.0,2017.0,22.116166664533335,4178.0,-276.0,False,No
-1.0,56.0,1754.0,1537.0,7.0,0.0,2.0,12.0,4.0,2017.0,23.37473333333333,3291.0,217.0,False,No
0.0,35.333333333333336,1234.6666666666667,1127.6666666666667,3.6666666666666665,3.6666666666666665,2.6666666666666665,10.0,8.666666666666666,2017.0,0.0,2362.3333333333335,107.0,False,No
1.0,47.0,1500.0,1597.0,6.0,23.0,4.0,19.0,5.0,2017.0,6.5092500010666665,3097.0,-97.0,False,No
1.0,77.0,1996.0,1959.0,5.0,10.0,6.0,16.0,7.0,2017.0,3.543583330133333,3955.0,37.0,True,Yes
1.0,52.0,1860.0,1657.0,4.0,12.0,2.0,22.0,6.0,2016.0,0.0,3517.0,203.0,False,No
1.0,45.0,2157.0,2000.0,7.0,0.0,3.0,23.0,2.0,2017.0,0.0,4157.0,157.0,False,No
-1.0,112.0,1678.0,1395.0,2.0,13.0,6.0,7.0,2.0,2016.0,0.0,3073.0,283.0,False,No
1.0,22.0,1558.0,1500.0,2.0,20.0,2.0,19.0,11.0,2014.0,0.0,3058.0,58.0,False,No
0.0,23.0,1620.6666666666667,1416.3333333333335,4.333333333333333,8.333333333333334,2.6666666666666665,10.0,8.666666666666666,2017.0,3.7915888881777775,3037.0,204.33333333333331,False,No
1.0,113.0,1361.0,1373.0,3.0,11.0,3.0,23.0,2.0,2017.0,0.0,2734.0,-12.0,False,No
1.0,63.0,1890.0,1639.0,9.0,19.0,0.0,6.0,2.0,2017.0,0.0,3529.0,251.0,False,No
1.0,51.0,1794.0,1597.0,4.0,20.0,3.0,31.0,8.0,2017.0,0.0,3391.0,197.0,False,No
-1.0,16.0,869.0,1028.0,2.0,22.0,3.0,13.0,11.0,2014.0,3.543583330133333,1897.0,-159.0,True,Yes
1.0,89.0,1604.0,1614.0,8.0,19.0,0.0,28.0,8.0,2017.0,0.0,3218.0,-10.0,False,No
-1.0,22.0,1500.0,1653.0,4.0,18.0,6.0,28.0,5.0,2017.0,8.245116667733333,3153.0,-153.0,False,No
0.0,128.0,1624.0,1602.0,5.0,19.0,4.0,1.0,9.0,2017.0,3.543583330133333,3226.0,22.0,True,Yes
0.0,51.0,1623.0,1459.0,4.5,3.0,4.5,3.0,8.5,2017.0,0.0,3082.0,164.0,False,No
1.0,59.0,1603.0,1384.0,7.0,7.0,6.0,11.0,12.0,2016.0,0.0,2987.0,219.0,False,No
1.0,59.0,1724.0,1721.0,9.0,15.0,6.0,3.0,9.0,2017.0,11.907616665599999,3445.0,3.0,False,No
1.0,53.0,1397.0,1183.0,2.0,14.0,1.0,7.0,6.0,2016.0,0.0,2580.0,214.0,False,No
-1.0,46.0,1637.0,1792.0,1.0,15.0,5.0,28.0,5.0,2016.0,13.619250001066666,3429.0,-155.0,False,No
-1.0,46.0,1509.0,1540.0,6.0,20.0,1.0,29.0,8.0,2017.0,12.749899997866667,3049.0,-31.0,False,No
-1.0,54.0,1548.0,1287.0,4.0,23.0,5.0,22.0,7.0,2017.0,13.0881666688,2835.0,261.0,False,No
1.0,17.0,1682.0,1396.0,11.0,16.0,5.0,5.0,9.0,2015.0,0.0,3078.0,286.0,False,No
1.0,63.0,1306.0,1429.0,2.0,7.0,4.0,2.0,6.0,2017.0,0.0,2735.0,-123.0,False,No
-1.0,110.0,1320.0,1309.0,1.0,18.0,4.0,2.0,6.0,2017.0,21.334866666666667,2629.0,11.0,False,No
1.0,28.0,1669.0,1149.0,5.0,20.0,6.0,16.0,11.0,2014.0,6.2847666645333335,2818.0,520.0,False,No
-1.0,48.0,1511.0,1614.0,2.0,14.0,5.0,3.0,6.0,2017.0,3.543583330133333,3125.0,-103.0,True,Yes
0.0,9.333333333333334,1387.0,1221.6666666666667,4.0,3.6666666666666665,4.0,4.666666666666667,7.666666666666666,2017.0,0.0,2608.666666666667,165.33333333333331,False,No
1.0,51.0,2207.0,1562.0,7.0,18.0,1.0,29.0,8.0,2017.0,7.324833335466667,3769.0,645.0,False,No
0.0,26.666666666666668,1302.5,1308.6666666666667,5.666666666666667,11.5,2.3333333333333335,2.6666666666666665,5.666666666666667,2017.0,7.699638887111111,2611.1666666666665,-6.166666666666671,False,No
0.0,41.66666666666667,1474.3333333333335,1297.0,3.6666666666666665,6.333333333333334,3.333333333333333,4.666666666666667,8.333333333333334,2017.0,0.0,2771.3333333333335,177.33333333333331,False,No
1.0,51.0,1227.0,1303.0,9.0,5.0,1.0,8.0,8.0,2017.0,0.0,2530.0,-76.0,False,No
-1.0,68.0,1159.0,1019.0,6.0,22.0,4.0,25.0,8.0,2017.0,0.0,2178.0,140.0,False,No
-1.0,66.0,1851.0,1830.0,7.0,13.0,3.0,30.0,6.0,2016.0,10.181199999999999,3681.0,21.0,False,No
0.0,27.0,1304.5,1107.3333333333333,4.5,5.666666666666666,3.8333333333333335,6.0,8.833333333333334,2017.0,3.369961111466665,2411.833333333333,197.16666666666669,False,No
-1.0,80.0,1390.0,1346.0,11.0,14.0,3.0,16.0,7.0,2015.0,19.975700002133333,2736.0,44.0,False,No
-1.0,2.0,1226.0,1431.0,1.0,18.0,2.0,16.0,8.0,2017.0,0.07568333226666667,2657.0,-205.0,False,No
1.0,59.0,1796.0,1365.0,4.0,13.0,2.0,31.0,8.0,2016.0,3.543583330133333,3161.0,431.0,True,Yes
-1.0,68.0,1450.0,1637.0,6.0,6.0,1.0,3.0,5.0,2016.0,19.9244499968,3087.0,-187.0,False,No
-1.0,86.0,1562.0,2210.0,3.0,16.0,5.0,19.0,8.0,2017.0,13.3703666688,3772.0,-648.0,False,No
1.0,87.0,1302.0,1724.0,5.0,18.0,1.0,25.0,10.0,2016.0,0.0,3026.0,-422.0,False,No
1.0,117.0,2048.0,1924.0,6.0,2.0,2.0,2.0,4.0,2014.0,27.519966664533335,3972.0,124.0,False,No
1.0,77.0,1461.0,1493.0,6.0,13.0,3.0,31.0,8.0,2017.0,29.432233335466666,2954.0,-32.0,False,No
0.0,41.0,1593.0,1422.5,7.5,6.5,3.5,16.0,8.5,2017.0,0.0,3015.5,170.5,False,No
-1.0,48.0,1261.0,1697.0,6.0,17.0,6.0,10.0,4.0,2016.0,3.543583330133333,2958.0,-436.0,True,Yes
1.0,33.0,1931.0,1541.0,2.0,10.0,6.0,3.0,9.0,2017.0,3.8106333354666666,3472.0,390.0,False,No
1.0,11.0,1523.0,1130.0,6.0,12.0,0.0,17.0,7.0,2017.0,1.5515166677333334,2653.0,393.0,False,No
-1.0,106.0,1634.0,1573.0,5.0,9.0,1.0,1.0,8.0,2017.0,12.877683332266667,3207.0,61.0,False,No
-1.0,58.0,1178.0,1616.0,7.0,19.0,5.0,19.0,8.0,2017.0,0.0,2794.0,-438.0,False,No
-1.0,110.0,1650.0,1414.0,3.0,4.0,1.0,22.0,11.0,2016.0,0.0,3064.0,236.0,False,No
